2025-07-28 21:17:17,294 [INFO] etl.large_log_etl - Iniciando procesamiento streaming: data\sample.log.gz
2025-07-28 21:22:10,930 [INFO] etl.large_log_etl - Iniciando procesamiento streaming: data\sample.log.gz
2025-07-28 21:22:44,959 [INFO] etl.large_log_etl - Progreso: 3,900,000 líneas | parseadas: 3,900,000 | inválidas: 0 | errores >= 500: 1,299,597
2025-07-28 21:22:45,822 [INFO] etl.large_log_etl - Progreso: 4,000,000 líneas | parseadas: 4,000,000 | inválidas: 0 | errores >= 500: 1,333,029
2025-07-28 21:22:46,675 [INFO] etl.large_log_etl - Progreso: 4,100,000 líneas | parseadas: 4,100,000 | inválidas: 0 | errores >= 500: 1,366,366
2025-07-28 21:22:47,526 [INFO] etl.large_log_etl - Progreso: 4,200,000 líneas | parseadas: 4,200,000 | inválidas: 0 | errores >= 500: 1,399,637
2025-07-28 21:22:48,407 [INFO] etl.large_log_etl - Progreso: 4,300,000 líneas | parseadas: 4,300,000 | inválidas: 0 | errores >= 500: 1,432,823
2025-07-28 21:22:49,261 [INFO] etl.large_log_etl - Progreso: 4,400,000 líneas | parseadas: 4,400,000 | inválidas: 0 | errores >= 500: 1,466,238
2025-07-28 21:22:50,124 [INFO] etl.large_log_etl - Progreso: 4,500,000 líneas | parseadas: 4,500,000 | inválidas: 0 | errores >= 500: 1,499,389
2025-07-28 21:22:51,006 [INFO] etl.large_log_etl - Progreso: 4,600,000 líneas | parseadas: 4,600,000 | inválidas: 0 | errores >= 500: 1,532,746
2025-07-28 21:22:51,871 [INFO] etl.large_log_etl - Progreso: 4,700,000 líneas | parseadas: 4,700,000 | inválidas: 0 | errores >= 500: 1,566,194
2025-07-28 21:22:52,728 [INFO] etl.large_log_etl - Progreso: 4,800,000 líneas | parseadas: 4,800,000 | inválidas: 0 | errores >= 500: 1,599,751
2025-07-28 21:22:53,577 [INFO] etl.large_log_etl - Progreso: 4,900,000 líneas | parseadas: 4,900,000 | inválidas: 0 | errores >= 500: 1,633,123
2025-07-28 21:22:54,441 [INFO] etl.large_log_etl - Progreso: 5,000,000 líneas | parseadas: 5,000,000 | inválidas: 0 | errores >= 500: 1,666,369
2025-07-28 21:22:55,024 [INFO] etl.large_log_etl - Progreso: 5,000,000 líneas | parseadas: 5,000,000 | inválidas: 0 | errores >= 500: 1,666,369
2025-07-28 21:22:55,025 [INFO] etl.large_log_etl - Tiempo total: 44.09 s
2025-07-28 21:30:24,440 [INFO] etl.large_log_etl - Iniciando procesamiento streaming: data\sample.log.gz
2025-07-28 21:30:25,314 [INFO] etl.large_log_etl - Progreso: 100,000 líneas | parseadas: 100,000 | inválidas: 0 | errores >= 500: 33,265
2025-07-28 21:30:26,179 [INFO] etl.large_log_etl - Progreso: 200,000 líneas | parseadas: 200,000 | inválidas: 0 | errores >= 500: 66,494
2025-07-28 21:30:27,032 [INFO] etl.large_log_etl - Progreso: 300,000 líneas | parseadas: 300,000 | inválidas: 0 | errores >= 500: 99,705
2025-07-28 21:30:27,957 [INFO] etl.large_log_etl - Progreso: 400,000 líneas | parseadas: 400,000 | inválidas: 0 | errores >= 500: 132,933
2025-07-28 21:30:28,856 [INFO] etl.large_log_etl - Progreso: 500,000 líneas | parseadas: 500,000 | inválidas: 0 | errores >= 500: 166,433
2025-07-28 21:30:29,753 [INFO] etl.large_log_etl - Progreso: 600,000 líneas | parseadas: 600,000 | inválidas: 0 | errores >= 500: 199,691
2025-07-28 21:30:30,639 [INFO] etl.large_log_etl - Progreso: 700,000 líneas | parseadas: 700,000 | inválidas: 0 | errores >= 500: 232,925
2025-07-28 21:30:31,572 [INFO] etl.large_log_etl - Progreso: 800,000 líneas | parseadas: 800,000 | inválidas: 0 | errores >= 500: 266,413
2025-07-28 21:30:32,495 [INFO] etl.large_log_etl - Progreso: 900,000 líneas | parseadas: 900,000 | inválidas: 0 | errores >= 500: 299,592
2025-07-28 21:30:33,386 [INFO] etl.large_log_etl - Progreso: 1,000,000 líneas | parseadas: 1,000,000 | inválidas: 0 | errores >= 500: 333,012
2025-07-28 21:30:34,368 [INFO] etl.large_log_etl - Progreso: 1,100,000 líneas | parseadas: 1,100,000 | inválidas: 0 | errores >= 500: 366,442
2025-07-28 21:30:35,316 [INFO] etl.large_log_etl - Progreso: 1,200,000 líneas | parseadas: 1,200,000 | inválidas: 0 | errores >= 500: 399,581
2025-07-28 21:30:36,233 [INFO] etl.large_log_etl - Progreso: 1,300,000 líneas | parseadas: 1,300,000 | inválidas: 0 | errores >= 500: 432,939
2025-07-28 21:30:37,181 [INFO] etl.large_log_etl - Progreso: 1,400,000 líneas | parseadas: 1,400,000 | inválidas: 0 | errores >= 500: 466,161
2025-07-28 21:30:38,095 [INFO] etl.large_log_etl - Progreso: 1,500,000 líneas | parseadas: 1,500,000 | inválidas: 0 | errores >= 500: 499,675
2025-07-28 21:30:38,985 [INFO] etl.large_log_etl - Progreso: 1,600,000 líneas | parseadas: 1,600,000 | inválidas: 0 | errores >= 500: 532,926
2025-07-28 21:30:39,864 [INFO] etl.large_log_etl - Progreso: 1,700,000 líneas | parseadas: 1,700,000 | inválidas: 0 | errores >= 500: 566,299
2025-07-28 21:30:40,731 [INFO] etl.large_log_etl - Progreso: 1,800,000 líneas | parseadas: 1,800,000 | inválidas: 0 | errores >= 500: 599,901
2025-07-28 21:30:41,612 [INFO] etl.large_log_etl - Progreso: 1,900,000 líneas | parseadas: 1,900,000 | inválidas: 0 | errores >= 500: 633,067
2025-07-28 21:30:42,490 [INFO] etl.large_log_etl - Progreso: 2,000,000 líneas | parseadas: 2,000,000 | inválidas: 0 | errores >= 500: 666,487
2025-07-28 21:30:43,379 [INFO] etl.large_log_etl - Progreso: 2,100,000 líneas | parseadas: 2,100,000 | inválidas: 0 | errores >= 500: 699,948
2025-07-28 21:30:44,292 [INFO] etl.large_log_etl - Progreso: 2,200,000 líneas | parseadas: 2,200,000 | inválidas: 0 | errores >= 500: 733,368
2025-07-28 21:30:45,213 [INFO] etl.large_log_etl - Progreso: 2,300,000 líneas | parseadas: 2,300,000 | inválidas: 0 | errores >= 500: 766,521
2025-07-28 21:30:46,101 [INFO] etl.large_log_etl - Progreso: 2,400,000 líneas | parseadas: 2,400,000 | inválidas: 0 | errores >= 500: 799,924
2025-07-28 21:30:47,068 [INFO] etl.large_log_etl - Progreso: 2,500,000 líneas | parseadas: 2,500,000 | inválidas: 0 | errores >= 500: 833,422
2025-07-28 21:30:47,987 [INFO] etl.large_log_etl - Progreso: 2,600,000 líneas | parseadas: 2,600,000 | inválidas: 0 | errores >= 500: 866,848
2025-07-28 21:30:48,973 [INFO] etl.large_log_etl - Progreso: 2,700,000 líneas | parseadas: 2,700,000 | inválidas: 0 | errores >= 500: 899,877
2025-07-28 21:30:50,531 [INFO] etl.large_log_etl - Progreso: 2,800,000 líneas | parseadas: 2,800,000 | inválidas: 0 | errores >= 500: 933,179
2025-07-28 21:30:52,508 [INFO] etl.large_log_etl - Progreso: 2,900,000 líneas | parseadas: 2,900,000 | inválidas: 0 | errores >= 500: 966,481
2025-07-28 21:30:54,483 [INFO] etl.large_log_etl - Progreso: 3,000,000 líneas | parseadas: 3,000,000 | inválidas: 0 | errores >= 500: 1,000,027
2025-07-28 21:30:56,460 [INFO] etl.large_log_etl - Progreso: 3,100,000 líneas | parseadas: 3,100,000 | inválidas: 0 | errores >= 500: 1,033,268
2025-07-28 21:30:58,382 [INFO] etl.large_log_etl - Progreso: 3,200,000 líneas | parseadas: 3,200,000 | inválidas: 0 | errores >= 500: 1,066,542
2025-07-28 21:31:00,318 [INFO] etl.large_log_etl - Progreso: 3,300,000 líneas | parseadas: 3,300,000 | inválidas: 0 | errores >= 500: 1,099,656
2025-07-28 21:31:02,228 [INFO] etl.large_log_etl - Progreso: 3,400,000 líneas | parseadas: 3,400,000 | inválidas: 0 | errores >= 500: 1,133,108
2025-07-28 21:31:04,177 [INFO] etl.large_log_etl - Progreso: 3,500,000 líneas | parseadas: 3,500,000 | inválidas: 0 | errores >= 500: 1,166,577
2025-07-28 21:31:06,157 [INFO] etl.large_log_etl - Progreso: 3,600,000 líneas | parseadas: 3,600,000 | inválidas: 0 | errores >= 500: 1,199,556
2025-07-28 21:31:08,225 [INFO] etl.large_log_etl - Progreso: 3,700,000 líneas | parseadas: 3,700,000 | inválidas: 0 | errores >= 500: 1,233,000
2025-07-28 21:31:10,310 [INFO] etl.large_log_etl - Progreso: 3,800,000 líneas | parseadas: 3,800,000 | inválidas: 0 | errores >= 500: 1,266,302
2025-07-28 21:31:12,327 [INFO] etl.large_log_etl - Progreso: 3,900,000 líneas | parseadas: 3,900,000 | inválidas: 0 | errores >= 500: 1,299,597
2025-07-28 21:31:14,341 [INFO] etl.large_log_etl - Progreso: 4,000,000 líneas | parseadas: 4,000,000 | inválidas: 0 | errores >= 500: 1,333,029
2025-07-28 21:31:15,258 [INFO] etl.large_log_etl - Progreso: 4,100,000 líneas | parseadas: 4,100,000 | inválidas: 0 | errores >= 500: 1,366,366
2025-07-28 21:31:16,171 [INFO] etl.large_log_etl - Progreso: 4,200,000 líneas | parseadas: 4,200,000 | inválidas: 0 | errores >= 500: 1,399,637
